img_id,added_objs,removed_objs,changed_objs
35655,none,none,none
30660,none,person vehicle,none
34838,man person,car person,none
34045,person,none,car
30596,none,bicycle person,none
34511,none,person,none
30452,person,none,vehicle
35189,person vehicle,none,none
33571,group person,none,none
31976,none,car person,none
32783,none,person,none
34974,none,none,person
33395,car,none,person
31731,car person,none,none
32868,person,man,none
30256,guy,none,none
33178,none,none,vehicle
35439,none,person,person vehicle
30423,none,person,none
34963,none,none,person
31951,none,man,none
31874,none,none,person
31356,man,box man,none
35430,none,car,none
30341,car vehicle,car,none
30519,none,none,group person
30049,car,person,car vehicle
31459,person vehicle,none,none
31887,none,car person,none
30708,none,none,guy
35734,none,none,car
34982,none,none,none
34570,car,person,none
34237,person,person vehicle,none
34749,none,person,car
33648,none,object person,none
35052,none,none,person
34625,car,none,none
32019,vehicle,person,none
35748,person,none,none
32413,vehicle,none,none
34128,none,none,person
35318,person vehicle,none,none
31925,car,person,person
34361,none,none,person
31907,none,vehicle,none
30325,person,none,car
35426,none,none,none
30441,none,none,car
32291,none,person,car
31629,none,none,none
33967,car,none,person umbrella
35269,none,vehicle,none
32000,none,none,person
30804,none,none,none
30053,man person,none,group person
32922,none,none,person
31446,car,none,none
30340,car vehicle,car vehicle,woman
30419,person,person vehicle,none
31676,person,none,none
31431,none,man,none
32096,person,none,car person vehicle
33471,vehicle,none,none
33939,car person,bicycle bicyclist,none
32512,car,none,group person
32467,car person,person,none
34211,person,none,none
35568,none,none,car
32741,none,person,none
35773,person,none,none
35061,none,none,person
34860,none,none,car
32461,none,person,pickup vehicle
32627,car,none,traffic
31965,person,none,none
34903,none,person,car
35580,vehicle,person,none
31175,none,none,vehicle
32525,person,none,car
33006,person,none,person
34776,person,car person,none
31702,person,none,none
30591,none,person,none
31082,none,vehicle,man
31572,none,none,person
31424,car,none,person vehicle
31715,none,none,none
33208,none,person,none
30404,none,car,none
30856,none,none,car vehicle
32898,person,none,person
31368,person,car person,none
32258,none,none,car person
33125,man vehicle vehicle,vehicle,none
32034,person,car person,man
33775,vehicle,none,person
31947,person,none,none
30322,car group person,none,none
34848,person,none,person
33510,none,person,none
34500,none,person,none
32855,none,none,vehicle
32083,person,none,person
30551,vehicle,none,none
35199,person,none,person
30361,none,none,person
35518,car person,none,none
35223,none,car,none
34205,person,person vehicle,none
30630,car couple person,man,gentleman group person
30171,car,none,none
31774,car,person,person pole
32622,none,none,man person
34862,person vehicle,person,none
33241,man,vehicle,none
